Team1,Team2,Venue_Team1,Venue_Team2,Inning_Team1,Inning_Team2,Winner
England,New Zealand,Away,Away,First,Second,England
New Zealand,Australia,Away,Away,First,Second,Australia
Scotland,Hong Kong,Away,Away,First,Second,Scotland
Ireland,Afghanistan,Away,Away,First,Second,Afghanistan
Oman,Netherlands,Away,Away,First,Second,Netherlands
Hong Kong,Oman,Away,Away,First,Second,Oman
United Arab Emirates,Afghanistan,Away,Away,First,Second,Afghanistan
Scotland,Netherlands,Away,Away,First,Second,Scotland
Ireland,United Arab Emirates,Away,Away,First,Second,Ireland
Hong Kong,Netherlands,Away,Away,First,Second,Hong Kong
Oman,Scotland,Away,Away,First,Second,Scotland
Oman,Afghanistan,Away,Away,First,Second,Afghanistan
Ireland,Scotland,Away,Away,First,Second,Ireland
Ireland,Afghanistan,Away,Away,First,Second,Afghanistan
Bangladesh,South Africa,Away,Away,First,Second,South Africa
South Africa,Bangladesh,Away,Away,First,Second,South Africa
South Africa,Bangladesh,Away,Away,First,Second,South Africa
South Africa,Bangladesh,Away,Away,First,Second,South Africa
South Africa,Bangladesh,Away,Away,First,Second,South Africa
West Indies,Pakistan,Home,Away,First,Second,Pakistan
Pakistan,West Indies,Away,Home,First,Second,Pakistan
Pakistan,West Indies,Away,Away,First,Second,West Indies
Pakistan,West Indies,Away,Away,First,Second,Pakistan
West Indies,Pakistan,Away,Away,First,Second,Pakistan
Scotland,Hong Kong,Away,Away,First,Second,Hong Kong
Scotland,United Arab Emirates,Away,Away,First,Second,United Arab Emirates
Hong Kong,United Arab Emirates,Away,Away,First,Second,United Arab Emirates
Afghanistan,Zimbabwe,Away,Away,First,Second,Afghanistan
Afghanistan,Zimbabwe,Away,Away,First,Second,Afghanistan
Zimbabwe,Afghanistan,Away,Away,First,Second,Zimbabwe
Afghanistan,Zimbabwe,Away,Away,First,Second,Zimbabwe
Afghanistan,Zimbabwe,Away,Away,First,Second,Afghanistan
Ireland,United Arab Emirates,Away,Away,First,Second,Ireland
United Arab Emirates,Ireland,Away,Away,First,Second,Ireland
Bangladesh,Sri Lanka,Away,Away,First,Second,Bangladesh
Sri Lanka,Bangladesh,Away,Away,First,Second,Sri Lanka
Bangladesh,Sri Lanka,Away,Away,First,Second,Sri Lanka
Bangladesh,Sri Lanka,Away,Away,First,Second,Bangladesh
Pakistan,West Indies,Away,Home,First,Second,West Indies
West Indies,Pakistan,Home,Away,First,Second,Pakistan
United Arab Emirates,Papua New Guinea,Away,Away,First,Second,United Arab Emirates
Papua New Guinea,United Arab Emirates,Away,Away,First,Second,United Arab Emirates
United Arab Emirates,Papua New Guinea,Away,Away,First,Second,United Arab Emirates
Papua New Guinea,United Arab Emirates,Away,Away,First,Second,United Arab Emirates
Scotland,Zimbabwe,Away,Away,First,Second,Scotland
Scotland,Zimbabwe,Away,Away,First,Second,Zimbabwe
Afghanistan,West Indies,Away,Home,First,Second,West Indies
West Indies,Afghanistan,Home,Away,First,Second,West Indies
Afghanistan,West Indies,Away,Home,First,Second,West Indies
Afghanistan,West Indies,Away,Away,First,Second,Afghanistan
Afghanistan,West Indies,Away,Away,First,Second,West Indies
India,West Indies,Away,Home,First,Second,India
India,West Indies,Away,Home,First,Second,India
West Indies,India,Home,Away,First,Second,West Indies
West Indies,India,Home,Away,First,Second,India
India,West Indies,Away,Home,First,Second,West Indies
Sri Lanka,Zimbabwe,Away,Away,First,Second,Zimbabwe
Zimbabwe,Sri Lanka,Away,Away,First,Second,Sri Lanka
Zimbabwe,Sri Lanka,Away,Away,First,Second,Sri Lanka
Sri Lanka,Zimbabwe,Away,Away,First,Second,Zimbabwe
Sri Lanka,Zimbabwe,Away,Away,First,Second,Zimbabwe
Sri Lanka,India,Away,Away,First,Second,India
Sri Lanka,India,Away,Away,First,Second,India
Sri Lanka,India,Away,Away,First,Second,India
India,Sri Lanka,Away,Away,First,Second,India
Sri Lanka,India,Away,Away,First,Second,India
Sri Lanka,India,Away,Away,First,Second,India
England,New Zealand,Away,Away,First,Second,New Zealand
New Zealand,England,Away,Away,First,Second,England
England,New Zealand,Away,Away,First,Second,England
England,New Zealand,Away,Away,First,Second,New Zealand
New Zealand,England,Away,Away,First,Second,England
West Indies,New Zealand,Away,Away,First,Second,New Zealand
New Zealand,West Indies,Away,Away,First,Second,New Zealand
New Zealand,West Indies,Away,Away,First,Second,New Zealand
New Zealand,West Indies,Away,Away,First,Second,New Zealand
New Zealand,West Indies,Away,Away,First,Second,New Zealand
New Zealand,Pakistan,Away,Away,First,Second,New Zealand
Pakistan,New Zealand,Away,Away,First,Second,New Zealand
New Zealand,Pakistan,Away,Away,First,Second,New Zealand
Pakistan,New Zealand,Away,Away,First,Second,New Zealand
New Zealand,Pakistan,Away,Away,First,Second,New Zealand
Pakistan,New Zealand,Away,Away,First,Second,New Zealand
Pakistan,New Zealand,Away,Away,First,Second,Pakistan
Pakistan,New Zealand,Away,Away,First,Second,Pakistan
Pakistan,ICC World XI,Away,Away,First,Second,Pakistan
Pakistan,ICC World XI,Away,Away,First,Second,ICC World XI
Pakistan,ICC World XI,Away,Away,First,Second,Pakistan
India,Australia,Away,Away,First,Second,India
India,Australia,Away,Away,First,Second,India
Australia,India,Away,Away,First,Second,India
Australia,India,Away,Away,First,Second,Australia
Australia,India,Away,Away,First,Second,India
Australia,India,Away,Away,First,Second,India
India,Australia,Away,Away,First,Second,Australia
Australia,England,Away,Away,First,Second,England
England,Australia,Away,Away,First,Second,England
England,Australia,Away,Away,First,Second,England
Australia,England,Away,Away,First,Second,England
Australia,England,Away,Away,First,Second,England
England,Australia,Away,Away,First,Second,England
England,India,Away,Away,First,Second,India
India,England,Away,Away,First,Second,England
England,India,Away,Away,First,Second,India
England,India,Away,Away,First,Second,India
England,India,Away,Away,First,Second,England
India,England,Away,Away,First,Second,England
India,New Zealand,Away,Away,First,Second,New Zealand
New Zealand,India,Away,Away,First,Second,India
India,New Zealand,Away,Away,First,Second,India
India,New Zealand,Away,Away,First,Second,India
New Zealand,India,Away,Away,First,Second,New Zealand
India,New Zealand,Away,Away,First,Second,India
Pakistan,Sri Lanka,Away,Away,First,Second,Pakistan
Pakistan,Sri Lanka,Away,Away,First,Second,Pakistan
Sri Lanka,Pakistan,Away,Away,First,Second,Pakistan
Sri Lanka,Pakistan,Away,Away,First,Second,Pakistan
Sri Lanka,Pakistan,Away,Away,First,Second,Pakistan
Sri Lanka,Pakistan,Away,Away,First,Second,Pakistan
Sri Lanka,Pakistan,Away,Away,First,Second,Pakistan
Pakistan,Sri Lanka,Away,Away,First,Second,Pakistan
South Africa,India,Away,Away,First,Second,India
South Africa,India,Away,Away,First,Second,India
India,South Africa,Away,Away,First,Second,India
India,South Africa,Away,Away,First,Second,South Africa
India,South Africa,Away,Away,First,Second,India
South Africa,India,Away,Away,First,Second,India
India,South Africa,Away,Away,First,Second,India
India,South Africa,Away,Away,First,Second,South Africa
India,South Africa,Away,Away,First,Second,India
India,Sri Lanka,Away,Away,First,Second,Sri Lanka
India,Sri Lanka,Away,Away,First,Second,India
Sri Lanka,India,Away,Away,First,Second,India
India,Sri Lanka,Away,Away,First,Second,India
India,Sri Lanka,Away,Away,First,Second,India
Sri Lanka,India,Away,Away,First,Second,India
Hong Kong,Papua New Guinea,Away,Away,First,Second,Hong Kong
Afghanistan,Ireland,Away,Away,First,Second,Afghanistan
Ireland,Afghanistan,Away,Away,First,Second,Ireland
Afghanistan,Ireland,Away,Away,First,Second,Ireland
Pakistan,Scotland,Away,Away,First,Second,Pakistan
Pakistan,Scotland,Away,Away,First,Second,Pakistan
Zimbabwe,Bangladesh,Away,Away,First,Second,Bangladesh
Zimbabwe,Sri Lanka,Away,Away,First,Second,Zimbabwe
Bangladesh,Sri Lanka,Away,Away,First,Second,Bangladesh
Zimbabwe,Sri Lanka,Away,Away,First,Second,Sri Lanka
Bangladesh,Zimbabwe,Away,Away,First,Second,Bangladesh
Bangladesh,Sri Lanka,Away,Away,First,Second,Sri Lanka
Sri Lanka,Bangladesh,Away,Away,First,Second,Sri Lanka
Bangladesh,Sri Lanka,Away,Away,First,Second,Sri Lanka
Sri Lanka,Bangladesh,Away,Away,First,Second,Sri Lanka
United Arab Emirates,Ireland,Away,Away,First,Second,Ireland
Ireland,United Arab Emirates,Away,Away,First,Second,Ireland
Scotland,Ireland,Away,Away,First,Second,Ireland
Ireland,Scotland,Away,Away,First,Second,Ireland
Scotland,United Arab Emirates,Away,Away,First,Second,Scotland
Scotland,United Arab Emirates,Away,Away,First,Second,United Arab Emirates
Afghanistan,Scotland,Away,Away,First,Second,Scotland
Papua New Guinea,Ireland,Away,Away,First,Second,Ireland
West Indies,United Arab Emirates,Away,Away,First,Second,West Indies
Zimbabwe,Afghanistan,Away,Away,First,Second,Zimbabwe
Hong Kong,Scotland,Away,Away,First,Second,Scotland
Papua New Guinea,West Indies,Away,Away,First,Second,West Indies
Hong Kong,Afghanistan,Away,Away,First,Second,Hong Kong
West Indies,Ireland,Away,Away,First,Second,West Indies
Zimbabwe,Hong Kong,Away,Away,First,Second,Zimbabwe
Ireland,United Arab Emirates,Away,Away,First,Second,Ireland
West Indies,Afghanistan,Away,Away,First,Second,Afghanistan
Scotland,United Arab Emirates,Away,Away,First,Second,Scotland
Zimbabwe,Ireland,Away,Away,First,Second,Zimbabwe
Papua New Guinea,Hong Kong,Away,Away,First,Second,Papua New Guinea
Ireland,Scotland,Away,Away,First,Second,Ireland
Zimbabwe,West Indies,Away,Away,First,Second,West Indies
United Arab Emirates,Afghanistan,Away,Away,First,Second,Afghanistan
West Indies,Scotland,Away,Away,First,Second,West Indies
United Arab Emirates,Zimbabwe,Away,Away,First,Second,United Arab Emirates
Ireland,Afghanistan,Away,Away,First,Second,Afghanistan
West Indies,Afghanistan,Away,Away,First,Second,Afghanistan
India,Sri Lanka,Away,Away,First,Second,Sri Lanka
Bangladesh,India,Away,Away,First,Second,India
Sri Lanka,Bangladesh,Away,Away,First,Second,Bangladesh
Sri Lanka,India,Away,Away,First,Second,India
India,Bangladesh,Away,Away,First,Second,India
Sri Lanka,Bangladesh,Away,Away,First,Second,Bangladesh
Bangladesh,India,Away,Away,First,Second,India
Zimbabwe,Afghanistan,Away,Away,First,Second,Afghanistan
Afghanistan,Zimbabwe,Away,Away,First,Second,Afghanistan
